seed_transform,seed_back_transform,mean_diff
123456,654321,-0.344080623327897
123457,654322,-0.343806765972182
123458,654323,-0.344340475487561
123459,654324,-0.344085233888013
123460,654325,-0.344154739321162
123461,654326,-0.34412370479823
123462,654327,-0.344233540238416
123463,654328,-0.34446357248507
123464,654329,-0.344470661840947
123465,654330,-0.344315166982837
