seed_transform,seed_back_transform,mean_diff
123456,654321,-0.338059351824878
123457,654322,-0.338277859320577
123458,654323,-0.338540554788505
123459,654324,-0.337912112636682
123460,654325,-0.337846560387972
123461,654326,-0.338035311946409
123462,654327,-0.338111444984799
123463,654328,-0.338458867849018
123464,654329,-0.337991488828997
123465,654330,-0.338391167010833
