seed_transform,seed_back_transform,mean_diff
123456,654321,-0.325231550428382
123457,654322,-0.324968344846434
123458,654323,-0.32539099145146
123459,654324,-0.325830292680287
123460,654325,-0.325540684119651
123461,654326,-0.325466903567796
123462,654327,-0.325331563433767
123463,654328,-0.3253469959606
123464,654329,-0.325402388216211
123465,654330,-0.325188975980508
