seed_transform,seed_back_transform,mean_diff
123456,654321,-0.350210372928141
123457,654322,-0.350366122968213
123458,654323,-0.350479072406722
123459,654324,-0.350359408547194
123460,654325,-0.350289045094052
123461,654326,-0.350576845414161
123462,654327,-0.350566850431274
123463,654328,-0.350972965594816
123464,654329,-0.350842417628157
123465,654330,-0.350799494388768
