"Ncells" "SeqDepthTot" "SeqDepthPerLoc" "Replicate" "Seed" "RMSE" "RMSEcomp10" "Scenario" "Mixnoise"
9 5112467 19663.3346153846 1 56789 0.00192306336472612 -0.0194459032943017 1 0
9 5385872 20714.8923076923 2 123456 0.00163166060928024 -0.98173488543094 1 0
9 5275581 20290.6961538462 3 234567 0.00206145414879067 -6.06041269490512 1 0
9 4888476 18801.8307692308 4 345678 0.00147706321974578 2.16762482206294 1 0
9 5270520 20271.2307692308 5 456789 0.00194487444641097 -7.38596790246588 1 0
9 5539758 21306.7615384615 6 567900 0.0015524927241601 6.72163143074109 1 0
9 5492968 21126.8 7 679011 0.00213787458879593 -6.66213085125604 1 0
9 5136507 19755.7961538462 8 790122 0.00214407938482747 -2.77810567291819 1 0
9 4768975 18342.2115384615 9 901233 0.00203729482071324 -4.41783901206239 1 0
9 4907976 18876.8307692308 10 1012344 0.00156515219054262 -17.2234813897448 1 0
9 5270758 20272.1461538462 11 1123455 0.00177656249406236 5.1484923102908 1 0
9 5665194 21789.2076923077 12 1234566 0.00208205185999476 -11.6998263657268 1 0
9 5515222 21212.3923076923 13 1345677 0.00184030828018851 -0.233124111761684 1 0
9 5206374 20024.5153846154 14 1456788 0.00209009743069988 -1.46685669293067 1 0
9 5428604 20879.2461538462 15 1567899 0.0020466722672726 1.18170858553814 1 0
9 5011278 19274.1461538462 16 1679010 0.00200590537173591 -5.13649232205295 1 0
9 5112467 19663.3346153846 1 56789 0.00412538202887717 0.0957728899281141 2 0
9 5385872 20714.8923076923 2 123456 0.00480689187392381 -0.501628597811732 2 0
9 5275581 20290.6961538462 3 234567 0.00675215287546334 -1.36789584711059 2 0
9 4888476 18801.8307692308 4 345678 0.00860172843985456 -0.101097758280821 2 0
9 5270520 20271.2307692308 5 456789 0.0048616212192951 0.842117447994306 2 0
9 5539758 21306.7615384615 6 567900 0.00565419857925197 -0.771940469763033 2 0
9 5492968 21126.8 7 679011 0.0043359755080119 -1.88064225013991 2 0
9 5136507 19755.7961538462 8 790122 0.00600113532389113 -1.49270621832154 2 0
9 4768975 18342.2115384615 9 901233 0.00437751057713491 -1.67321382271879 2 0
9 4907976 18876.8307692308 10 1012344 0.00670818247681907 -0.641380985071094 2 0
9 5270758 20272.1461538462 11 1123455 0.00616358764426333 -0.0946321253240123 2 0
9 5665194 21789.2076923077 12 1234566 0.00546482700134662 -1.1127499893 2 0
9 5515222 21212.3923076923 13 1345677 0.00491566342141364 -0.414268923100258 2 0
9 5206374 20024.5153846154 14 1456788 0.00430916211611553 -0.643822969007557 2 0
9 5428604 20879.2461538462 15 1567899 0.00529227477488643 -0.795368442317201 2 0
9 5011278 19274.1461538462 16 1679010 0.00503899854453024 -1.00021339364906 2 0
9 5112467 19663.3346153846 1 56789 0.00166529375108713 -0.0258499558648539 3 0
9 5385872 20714.8923076923 2 123456 0.00140144781310007 0.087949102625573 3 0
9 5275581 20290.6961538462 3 234567 0.00176272071505106 -6.44833935442957 3 0
9 4888476 18801.8307692308 4 345678 0.00128850733108663 1.15696185685965 3 0
9 5270520 20271.2307692308 5 456789 0.00165954819464548 -7.96050110918449 3 0
9 5539758 21306.7615384615 6 567900 0.00131355902667859 5.34972517738691 3 0
9 5492968 21126.8 7 679011 0.00180864017796608 -5.27052427391812 3 0
9 5136507 19755.7961538462 8 790122 0.00181818096644165 -0.918655455078055 3 0
9 4768975 18342.2115384615 9 901233 0.00177126218676247 -4.87839357836977 3 0
9 4907976 18876.8307692308 10 1012344 0.00135685555147996 -17.4028060976425 3 0
9 5270758 20272.1461538462 11 1123455 0.00153893843963902 5.01936856376459 3 0
9 5665194 21789.2076923077 12 1234566 0.00179322286457301 -12.3089441528158 3 0
9 5515222 21212.3923076923 13 1345677 0.00156751622295643 -0.226846377630885 3 0
9 5206374 20024.5153846154 14 1456788 0.00180766551930067 -1.60023747306177 3 0
9 5428604 20879.2461538462 15 1567899 0.00176438617465307 1.33512068106809 3 0
9 5011278 19274.1461538462 16 1679010 0.00175210151512371 -6.40481611569186 3 0
9 5112467 19663.3346153846 1 56789 0.00230660859473397 -0.15411100755014 4 0
9 5385872 20714.8923076923 2 123456 0.00181780372851676 0.863773984889571 4 0
9 5275581 20290.6961538462 3 234567 0.0021790668722914 -11.1125033571866 4 0
9 4888476 18801.8307692308 4 345678 0.00167486013402364 -0.315053061278103 4 0
9 5270520 20271.2307692308 5 456789 0.00215496448183305 -7.22931088616214 4 0
9 5539758 21306.7615384615 6 567900 0.00187069453157565 4.8610526730457 4 0
9 5492968 21126.8 7 679011 0.00245990664273691 -10.3804930116906 4 0
9 5136507 19755.7961538462 8 790122 0.0024730539013528 -4.18420756332691 4 0
9 4768975 18342.2115384615 9 901233 0.00238074072056625 -1.2950617697431 4 0
9 4907976 18876.8307692308 10 1012344 0.00189187428560618 -17.8918835969849 4 0
9 5270758 20272.1461538462 11 1123455 0.00208632813188904 5.3949020668886 4 0
9 5665194 21789.2076923077 12 1234566 0.00244441559242283 -13.0461521526785 4 0
9 5515222 21212.3923076923 13 1345677 0.00217440543255803 -0.0305498024605555 4 0
9 5206374 20024.5153846154 14 1456788 0.00238836625166301 -5.2159917917872 4 0
9 5428604 20879.2461538462 15 1567899 0.00242208303710002 0.492874859704551 4 0
9 5011278 19274.1461538462 16 1679010 0.00225968604572381 -3.81638826440209 4 0
9 5112467 19663.3346153846 1 56789 0.00231236099853174 -0.0218697004303658 5 0
9 5385872 20714.8923076923 2 123456 0.00218776687229483 1.25830160362747 5 0
9 5275581 20290.6961538462 3 234567 0.0020363886189662 -14.5859252053935 5 0
9 4888476 18801.8307692308 4 345678 0.00165293538691599 1.87374264817509 5 0
9 5270520 20271.2307692308 5 456789 0.00213911815587832 0.539427816648441 5 0
9 5539758 21306.7615384615 6 567900 0.00250818013352143 2.96870556063971 5 0
9 5492968 21126.8 7 679011 0.00247164206665911 -4.14985144604405 5 0
9 5136507 19755.7961538462 8 790122 0.00228658244970611 -4.44062261524372 5 0
9 4768975 18342.2115384615 9 901233 0.00239192782749314 -6.03688672296008 5 0
9 4907976 18876.8307692308 10 1012344 0.00223730340861259 -10.0813979214346 5 0
9 5270758 20272.1461538462 11 1123455 0.00238963966816714 0.600964151178851 5 0
9 5665194 21789.2076923077 12 1234566 0.00235325225093461 -11.5617780076273 5 0
9 5515222 21212.3923076923 13 1345677 0.0023732652591487 -0.25372950194309 5 0
9 5206374 20024.5153846154 14 1456788 0.00238147463346751 -5.73829302761157 5 0
9 5428604 20879.2461538462 15 1567899 0.00221197355074547 1.24325649996413 5 0
9 5011278 19274.1461538462 16 1679010 0.00240204034321455 -7.3615861462105 5 0
9 5258775 20226.0576923077 45 4901229 0.00161730079735973 0.911497580606513 1 1
9 5212022 20046.2384615385 46 5012340 0.00147008481396183 -4.12038347891264 1 1
9 5430304 20885.7846153846 47 5123451 0.00206403782260216 -1.45975284390354 1 1
9 4842237 18623.9884615385 48 5234562 0.00150725799896667 -16.9713365985055 1 1
9 5202113 20008.1269230769 49 5345673 0.00225504743973333 -5.60907292763448 1 1
9 5337070 20527.1923076923 50 5456784 0.00214909259883694 -8.78534410434069 1 1
9 5468368 21032.1846153846 51 5567895 0.0018211143535938 -14.8576349744768 1 1
9 5076531 19525.1192307692 52 5679006 0.00130493309837351 -13.4516809541578 1 1
9 5448233 20954.7423076923 53 5790117 0.00209747212637173 -0.45943241545201 1 1
9 5214407 20055.4115384615 54 5901228 0.00211656017061987 -3.32538727699734 1 1
9 5232954 20126.7461538462 55 6012339 0.00148831489855331 -3.45112478383154 1 1
9 5109926 19653.5615384615 56 6123450 0.00222660321907821 -5.45805739178724 1 1
9 5270511 20271.1961538462 57 6234561 0.00151773921904554 -7.08910317103955 1 1
9 4972907 19126.5653846154 58 6345672 0.00206102169481141 0.472146450452104 1 1
9 5613059 21588.6884615385 59 6456783 0.00123437447487964 -8.35046231508629 1 1
9 5326791 20487.6576923077 60 6567894 0.00169193800170508 3.17950475275655 1 1
9 5258775 20226.0576923077 45 4901229 0.00878355522845962 0.0283806396031872 2 1
9 5212022 20046.2384615385 46 5012340 0.00442953388135251 -1.44561501126081 2 1
9 5430304 20885.7846153846 47 5123451 0.00488755802573405 -1.03010176134084 2 1
9 4842237 18623.9884615385 48 5234562 0.00859255842913163 -0.388594541540188 2 1
9 5202113 20008.1269230769 49 5345673 0.00466052266304426 -3.04155009022167 2 1
9 5337070 20527.1923076923 50 5456784 0.00465738825626085 -0.660673268588519 2 1
9 5468368 21032.1846153846 51 5567895 0.00382703702368575 -1.49233034507117 2 1
9 5076531 19525.1192307692 52 5679006 0.00861660244437167 -0.483004223935968 2 1
9 5448233 20954.7423076923 53 5790117 0.00496219896748801 -0.703556646715975 2 1
9 5214407 20055.4115384615 54 5901228 0.00477374946681681 -1.06415890215932 2 1
9 5232954 20126.7461538462 55 6012339 0.00637772675175022 -0.989747510039107 2 1
9 5109926 19653.5615384615 56 6123450 0.00418039748609613 0.531200932261555 2 1
9 5270511 20271.1961538462 57 6234561 0.00861682332284666 -0.17559239384759 2 1
9 4972907 19126.5653846154 58 6345672 0.00541015033702487 0.503485961738159 2 1
9 5613059 21588.6884615385 59 6456783 0.00856241493862691 -0.030696404174213 2 1
9 5326791 20487.6576923077 60 6567894 0.00403335932927729 -1.17128916843654 2 1
9 5258775 20226.0576923077 45 4901229 0.00140554092809117 1.46249711408979 3 1
9 5212022 20046.2384615385 46 5012340 0.00126650994109652 -4.1115552696543 3 1
9 5430304 20885.7846153846 47 5123451 0.00176705942452497 -1.328969510068 3 1
9 4842237 18623.9884615385 48 5234562 0.00131405746377996 -17.6636111614855 3 1
9 5202113 20008.1269230769 49 5345673 0.00192580516934947 -5.97944541227902 3 1
9 5337070 20527.1923076923 50 5456784 0.00182157302794923 -7.44112881010368 3 1
9 5468368 21032.1846153846 51 5567895 0.00155075911226559 -14.1027544420824 3 1
9 5076531 19525.1192307692 52 5679006 0.00115534575309772 -14.0159326056118 3 1
9 5448233 20954.7423076923 53 5790117 0.00178075624843697 -0.761143276043796 3 1
9 5214407 20055.4115384615 54 5901228 0.00181596798316909 -3.05616991600426 3 1
9 5232954 20126.7461538462 55 6012339 0.0012668778312991 -3.26289632387782 3 1
9 5109926 19653.5615384615 56 6123450 0.00192557109755219 -5.08207296450292 3 1
9 5270511 20271.1961538462 57 6234561 0.00129658749947196 -6.19511591268243 3 1
9 4972907 19126.5653846154 58 6345672 0.00177690969910198 0.371378498720432 3 1
9 5613059 21588.6884615385 59 6456783 0.00105700633984194 -8.04032358139497 3 1
9 5326791 20487.6576923077 60 6567894 0.00145267138181219 3.28050950518274 3 1
9 5258775 20226.0576923077 45 4901229 0.00178795144823406 1.95358982909931 4 1
9 5212022 20046.2384615385 46 5012340 0.00175602335988433 -3.80168082846211 4 1
9 5430304 20885.7846153846 47 5123451 0.0021443737969886 -1.03885946114421 4 1
9 4842237 18623.9884615385 48 5234562 0.00179206705903797 -18.9015776551452 4 1
9 5202113 20008.1269230769 49 5345673 0.00256311192930385 -5.05351549791051 4 1
9 5337070 20527.1923076923 50 5456784 0.0024949672370693 -9.5525348885124 4 1
9 5468368 21032.1846153846 51 5567895 0.00207552441969106 -13.812898924298 4 1
9 5076531 19525.1192307692 52 5679006 0.00152244558687751 -14.5102541566315 4 1
9 5448233 20954.7423076923 53 5790117 0.00242855833071734 0.37079025519573 4 1
9 5214407 20055.4115384615 54 5901228 0.00240922700700778 -2.7884227120752 4 1
9 5232954 20126.7461538462 55 6012339 0.00178441762060045 -14.8560839830814 4 1
9 5109926 19653.5615384615 56 6123450 0.00254027043431318 -3.80251530355311 4 1
