"sample"	"n_cell_types"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"
2	12	10	0.05	50	2	2	-0.1	0.3	0.000755008471971677	0.000664923861213155	0.000666072625748011	103	56291.1968742465	11.7794501022503	11.9316026379504
2	12	10	0.05	50	2	2	0	0.3	0.000755008471971677	0.000721065229573558	0.000724779470112439	104	719942.214408514	4.00379637864147	4.49574324768534
2	12	10	0.05	50	2	2	0.1	0.3	0.000755008471971677	0.000727845263126484	0.000730106584392592	105	2963959.42126202	3.29822624560153	3.59773563523825
2	12	10	0.05	50	2	2	-0.1	0.5	0.000755008471971677	0.000663936313996412	0.000664842850933573	106	18752.6711953431	11.9423323559059	12.0624021260891
2	12	10	0.05	50	2	2	0	0.5	0.000755008471971677	0.000713084974651785	0.000716939374487524	107	388005.198347627	5.04220798804248	5.55271879405677
2	12	10	0.05	50	2	2	0.1	0.5	0.000755008471971677	0.000726199851329083	0.000728451518129188	108	1805779.9774209	3.51743786041715	3.81566852718366
2	12	10	0.05	50	3	2	-0.1	0.1	0.000765133620847287	0.000723306658567232	0.000725142482967949	109	167488.805546091	5.22668678904116	5.46662192595028
2	12	10	0.05	50	3	2	0	0.1	0.000765133620847287	0.000770433893703861	0.000774376982373448	110	1438547.09350225	-1.2080715412722	-0.692725128286109
2	12	10	0.05	50	3	2	0.1	0.1	0.000765133620847287	0.00076712885020228	0.000768721173535575	111	5153177.59330041	-0.468879237631148	-0.260768746873796
2	12	10	0.05	50	3	2	-0.1	0.3	0.000765133620847287	0.000721328571875528	0.000722689179848972	112	51048.2645345974	5.54732400221977	5.72515019314536
2	12	10	0.05	50	3	2	0	0.3	0.000765133620847287	0.000761615641174428	0.000765754733059055	113	706798.43002363	-0.0811769597943934	0.459786314050947
2	12	10	0.05	50	3	2	0.1	0.3	0.000765133620847287	0.000766141475036964	0.000767824565474147	114	2905001.54410039	-0.351696037599369	-0.131722638009513
2	12	10	0.05	50	3	2	-0.1	0.5	0.000765133620847287	0.000737903513588338	0.000736364312399464	115	13805.1409769394	3.76003715742679	3.55886952514183
2	12	10	0.05	50	3	2	0	0.5	0.000765133620847287	0.000753499825386224	0.000757640491460771	116	379576.161002538	0.979322981287567	1.52049199565681
2	12	10	0.05	50	3	2	0.1	0.5	0.000765133620847287	0.000765092111563102	0.000767005173288131	117	1757502.16303086	-0.244604653337754	0.00542510262956375
2	12	10	0.05	50	4	2	-0.1	0.1	0.000891469315023756	0.000832765133658105	0.000833868536466507	118	177920.50955665	6.46133047840397	6.58510398241662
2	12	10	0.05	50	4	2	0	0.1	0.000891469315023756	0.000871129597220467	0.000874219456726656	119	1462625.50518802	1.93499181703639	2.28159483007522
2	12	10	0.05	50	4	2	0.1	0.1	0.000891469315023756	0.000883613860648209	0.000885616356381106	120	5267894.05065706	0.656551890683288	0.881180568210371
2	12	10	0.05	50	4	2	-0.1	0.3	0.000891469315023756	0.000833540570634593	0.000834078839942819	121	54196.3128570536	6.43773982051277	6.49811983574772
2	12	10	0.05	50	4	2	0	0.3	0.000891469315023756	0.000866452169190859	0.000869783315599268	122	723904.643296984	2.4326131095057	2.80628232641187
2	12	10	0.05	50	4	2	0.1	0.3	0.000891469315023756	0.000883508873734605	0.000885618239712514	123	2994487.15176364	0.656340629187657	0.892957408067241
2	12	10	0.05	50	4	2	-0.1	0.5	0.000891469315023756	0.000840715922485922	0.000839465723591227	124	13729.9211318477	5.83346959408734	5.69322933302323
2	12	10	0.05	50	4	2	0	0.5	0.000891469315023756	0.000862622924760671	0.000866180008695168	125	390987.509696814	2.8368117558723	3.23582537019983
2	12	10	0.05	50	4	2	0.1	0.5	0.000891469315023756	0.000883788720138657	0.000886192150929428	126	1823393.72433638	0.591962505651389	0.861565816754406
2	12	10	0.05	50	5	2	-0.1	0.1	0.000714636020065245	0.000605729025065818	0.000608349577775836	127	223022.311089675	14.8728078777369	15.2395054183643
2	12	10	0.05	50	5	2	0	0.1	0.000714636020065245	0.00068584027305307	0.000690622827242434	128	1641781.46981892	3.3601990591823	4.02942843680697
2	12	10	0.05	50	5	2	0.1	0.1	0.000714636020065245	0.000685941634210897	0.000689044364123029	129	5768196.55144292	3.58107557185252	4.0152448307501
2	12	10	0.05	50	5	2	-0.1	0.3	0.000714636020065245	0.000588884613407858	0.000591019155126453	130	77827.5088336083	17.2978777262733	17.5965670812262
2	12	10	0.05	50	5	2	0	0.3	0.000714636020065245	0.000676839845607682	0.000681829049989595	131	814705.140821565	4.59072439039022	5.28887061333856
2	12	10	0.05	50	5	2	0.1	0.3	0.000714636020065245	0.000684597348488894	0.00068788848333665	132	3272252.28415665	3.74281955815104	4.20335257850679
2	12	10	0.05	50	5	2	-0.1	0.5	0.000714636020065245	0.000576654774050699	0.000578376907339586	133	28729.3561291535	19.066924826042	19.3079053028908
2	12	10	0.05	50	5	2	0	0.5	0.000714636020065245	0.000668265873962654	0.000673372621248679	134	440975.835501331	5.77404408090125	6.48863824389329
2	12	10	0.05	50	5	2	0.1	0.5	0.000714636020065245	0.000683107029866335	0.000686654606047582	135	1992606.40944633	3.91547770221659	4.4118949106471
2	12	10	0.05	50	6	2	-0.1	0.1	0.000824868834230807	0.000838062719783869	0.000836810151049016	136	318387.88635904	-1.44766250374149	-1.5995131596122
2	12	10	0.05	50	6	2	0	0.1	0.000824868834230807	0.000833855811445194	0.00083291633758074	137	2146264.41402178	-0.97561006259097	-1.08950379035317
2	12	10	0.05	50	6	2	0.1	0.1	0.000824868834230807	0.000867072984791423	0.00086595981809934	138	6963501.42241405	-4.98151732291474	-5.11646807458432
2	12	10	0.05	50	6	2	-0.1	0.3	0.000824868834230807	0.000853984328297264	0.00085281879696742	139	109064.066728856	-3.38841299085768	-3.52971198064564
2	12	10	0.05	50	6	2	0	0.3	0.000824868834230807	0.000830385507491083	0.000829354281363486	140	1069983.3001907	-0.543777015998059	-0.668793998674966
2	12	10	0.05	50	6	2	0.1	0.3	0.000824868834230807	0.0008683127814279	0.000867233200723515	141	3940952.25355134	-5.13589127563687	-5.26677035114362
2	12	10	0.05	50	6	2	-0.1	0.5	0.000824868834230807	0.000873955883484715	0.000872264863290227	142	37852.7457169351	-5.74588675102714	-5.9508914892731
2	12	10	0.05	50	6	2	0	0.5	0.000824868834230807	0.000828699362749127	0.000827900988443136	143	580983.337958458	-0.367592286979379	-0.464380318343771
2	12	10	0.05	50	6	2	0.1	0.5	0.000824868834230807	0.000869322074191346	0.000868201160376068	144	2394833.17134836	-5.25323837524638	-5.38912832147322
2	12	10	0.05	50	7	2	-0.1	0.1	0.000825082725528625	0.000732354200286715	0.000734528270703471	145	181691.005281472	10.9751970345926	11.2386942997139
2	12	10	0.05	50	7	2	0	0.1	0.000825082725528625	0.000794332227750452	0.000798796329540645	146	1588830.09138818	3.18591035476333	3.72695934925441
