"sample"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"
1	10	0.05	50	1	1	-0.1	0.1	0.000804538651540426	0.000710558694940073	0.000712234360289592	1	71241.8868355077	11.4729467719297	11.6812233222622
1	10	0.05	50	1	1	0	0.1	0.000804538651540426	0.000775145787668592	0.000779138511033863	2	993884.702043831	3.15710630656842	3.65338120369437
1	10	0.05	50	1	1	0.1	0.1	0.000804538651540426	0.000818477199720791	0.000822292957008494	3	4188268.04883754	-2.20676849198902	-1.73248956450713
1	10	0.05	50	1	1	-0.1	0.3	0.000804538651540426	0.000701201901241286	0.000703516267041175	4	16369.895707632	12.5565607451957	12.8442244634593
1	10	0.05	50	1	1	0	0.3	0.000804538651540426	0.000766077080693338	0.000770122150086233	5	482245.005752251	4.27779341468523	4.78057465274631
1	10	0.05	50	1	1	0.1	0.3	0.000804538651540426	0.000812914463517875	0.000816831429809954	6	2375591.01263301	-1.52792886283228	-1.0410701787182
1	10	0.05	50	1	1	-0.1	0.5	0.000804538651540426	0.000696925882820963	0.000696947580522354	7	3010.53345420844	13.3730145608382	13.375711473081
1	10	0.05	50	1	1	0	0.5	0.000804538651540426	0.000760120347777312	0.00076435033382931	8	256133.042990015	4.99520037156318	5.5209657954988
1	10	0.05	50	1	1	0.1	0.5	0.000804538651540426	0.000812742371172476	0.000816925110481114	9	1440548.10391232	-1.53957288651962	-1.01967998881625
1	10	0.05	50	2	1	-0.1	0.1	0.001002955999079	0.000911983562019256	0.000912987854736713	10	107020.36964169	8.97029824089012	9.07043151875867
1	10	0.05	50	2	1	0	0.1	0.001002955999079	0.00096927236661809	0.00097275654082612	11	1102912.06654746	3.01104517851341	3.3584357132157
1	10	0.05	50	2	1	0.1	0.1	0.001002955999079	0.00100935821374729	0.00101246881581256	12	4293535.31684292	-0.948477973340434	-0.63833455048623
1	10	0.05	50	2	1	-0.1	0.3	0.001002955999079	0.000908114033021336	0.000908991178899516	13	29568.4420982293	9.36878788957532	9.45624395733758
1	10	0.05	50	2	1	0	0.3	0.001002955999079	0.000962843696031071	0.000966663364498007	14	539627.181376452	3.61856697744651	3.99940805825606
1	10	0.05	50	2	1	0.1	0.3	0.001002955999079	0.00100297690528913	0.00100614515059531	15	2437645.57607561	-0.317975217182243	-0.00208445935316881
1	10	0.05	50	2	1	-0.1	0.5	0.001002955999079	0.000907148974337944	0.000907397822549362	16	7398.77378738128	9.52765391676068	9.55246539519513
1	10	0.05	50	2	1	0	0.5	0.001002955999079	0.000952223223314311	0.000955987194565286	17	287500.632342375	4.68303739713839	5.05832517191934
1	10	0.05	50	2	1	0.1	0.5	0.001002955999079	0.000999776248605288	0.00100319348997254	18	1479102.76317251	-0.0236790939745601	0.317037883678939
1	10	0.05	50	3	1	-0.1	0.1	0.00112396187936796	0.00104264296481649	0.00104238078444673	19	33296.6970395466	7.2583506984334	7.2350242516413
1	10	0.05	50	3	1	0	0.1	0.00112396187936796	0.00110004837301684	0.00110151645900122	20	745362.858411708	1.99699124843715	2.12760831039688
1	10	0.05	50	3	1	0.1	0.1	0.00112396187936796	0.00115056463749816	0.0011525460497682	21	3414210.48606437	-2.54316191010919	-2.36687370083712
