"sample"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"	"sparsity_level"	"best_WAIC"	"sparsity_level_f"
2	10	0.05	50	1	1	-0.1	0.5	0.000549272484375663	0.000476486976236812	0.000475663355230623	7	7517.13181949246	13.4012045458109	13.251256927895	1	TRUE	"1"
2	10	0.05	50	2	1	-0.1	0.5	0.00070191269623104	0.000610886570997916	0.000612018807909073	16	20827.1978923461	12.806989929753	12.9682972999198	1	TRUE	"1"
2	10	0.05	50	3	1	-0.1	0.5	0.000593221520846979	0.000892079848245744	0.000900882228673307	25	1414.21200169111	-51.8627017083031	-50.3788748210056	1	TRUE	"1"
2	10	0.05	50	4	1	-0.1	0.5	0.000604398478400818	0.000489741124164003	0.000489626217638794	34	6676.39237148735	18.9895019368184	18.9704902203241	1	TRUE	"1"
2	10	0.05	50	5	1	-0.1	0.5	0.000780854808636446	0.000774077167581063	0.000766656934213776	43	13996.0098028558	1.81824767749891	0.867977116926288	1	TRUE	"1"
2	10	0.05	50	6	1	-0.1	0.5	0.000626846729678836	0.00056557598045718	0.000566926595965153	52	18831.3640448301	9.55897684022106	9.77443868185258	1	TRUE	"1"
2	10	0.05	50	7	1	-0.1	0.5	0.000608246329281363	0.000510855319156066	0.000512448562889075	61	19648.4411947871	15.7498305835191	16.0117711257483	1	TRUE	"1"
2	10	0.05	50	8	1	-0.1	0.5	0.000597996868538871	0.000576516393297773	0.000576502527077657	70	47431.1245662038	3.59439030403825	3.59207152599021	1	TRUE	"1"
2	10	0.05	50	9	1	-0.1	0.5	0.00059468510539709	0.000531591425153064	0.000532235254729756	79	5478.64794874634	10.5013308893341	10.6095948379094	1	TRUE	"1"
2	10	0.05	50	10	1	-0.1	0.5	0.000764797439204615	0.000739876214480263	0.000737780112270491	88	32807.5882913604	3.53261210736037	3.25853924802232	1	TRUE	"1"
2	10	0.05	50	1	2	-0.1	0.5	0.00065729879810885	0.000617264912924231	0.000617485049690035	97	13985.0151061893	6.05717651292916	6.09066763849299	1	TRUE	"1"
2	10	0.05	50	2	2	-0.1	0.5	0.000641940351507403	0.000643058053720987	0.000639775950577223	106	26245.4826537207	0.337165427457209	-0.174113094925321	1	TRUE	"1"
2	10	0.05	50	3	2	-0.1	0.5	0.000611016023389468	0.000505941192293225	0.000506145081014787	115	7494.02997669272	17.1633702489395	17.1967390500441	1	TRUE	"1"
2	10	0.05	50	4	2	-0.1	0.5	0.000701597983031325	0.000696189251818057	0.000694703146448937	124	30523.7022789587	0.982733238855427	0.77091601516569	1	TRUE	"1"
2	10	0.05	50	5	2	-0.1	0.5	0.00068747641517216	0.000752792788834754	0.000749441481684093	133	10544.1434974066	-9.01340979041665	-9.50088937178117	1	TRUE	"1"
2	10	0.05	50	6	2	-0.1	0.5	0.00075106953873602	0.000686728077305752	0.000686572918613563	142	11419.7350128005	8.58730341147893	8.56664504575019	1	TRUE	"1"
2	10	0.05	50	7	2	-0.1	0.5	0.000689495757403902	0.000627585458329628	0.000627516265635944	151	26778.3134815415	8.98910415363888	8.97906889338659	1	TRUE	"1"
2	10	0.05	50	8	2	-0.1	0.5	0.000629157519059622	0.000632669441452011	0.000631912678067581	160	17804.2667485979	-0.437912434405496	-0.558194456236993	1	TRUE	"1"
2	10	0.05	50	9	2	-0.1	0.5	0.000674124713139343	0.000608129974445626	0.00060941123350288	169	15991.227466865	9.59963021309481	9.78969282796131	1	TRUE	"1"
2	10	0.05	50	10	2	-0.1	0.5	0.000578619882059584	0.000520108954353032	0.00051878206085905	178	5233.04768154261	10.3414734017681	10.112152990368	1	TRUE	"1"
2	10	0.05	50	1	3	-0.1	0.5	0.000658149928754264	0.000626345517605012	0.000623803885859317	187	9246.99555857681	5.21857427834971	4.83239604833674	1	TRUE	"1"
2	10	0.05	50	2	3	-0.1	0.5	0.000632851918560481	0.000714254619714346	0.000712477261970095	196	8695.61659223006	-12.5819865713189	-12.8628354859108	1	TRUE	"1"
2	10	0.05	50	3	3	-0.1	0.5	0.000738212805129256	0.000671588287742246	0.000670536715195771	205	15412.7029869348	9.16755838739963	9.02510995800792	1	TRUE	"1"
2	10	0.05	50	4	3	-0.1	0.5	0.000612896847887358	0.000512460347349612	0.000514679934562173	214	22142.8599863893	16.0250315634249	16.3871785087407	1	TRUE	"1"
2	10	0.05	50	5	3	-0.1	0.5	0.000662426947257892	0.000696179819835958	0.00068462840274125	223	21242.0540253372	-3.35153265960284	-5.09533507321609	1	TRUE	"1"
2	10	0.05	50	6	3	-0.1	0.5	0.000677905162366716	0.000587259489887907	0.000586008046166056	232	7343.95080730574	13.5560431314355	13.3714385891892	1	TRUE	"1"
2	10	0.05	50	7	3	-0.1	0.5	0.000786406534876324	0.000833404158844448	0.00082197385800913	241	8456.59339536664	-4.52276545977577	-5.97625043585315	1	TRUE	"1"
2	10	0.05	50	8	3	-0.1	0.5	0.000619812967991133	0.000576837403677942	0.00057802318255841	250	36059.869060562	6.74232189238748	6.93363426268387	1	TRUE	"1"
2	10	0.05	50	9	3	-0.1	0.5	0.000669136984363404	0.000590204167181397	0.000590141958200878	259	5838.94458030448	11.8055088880911	11.7962119904493	1	TRUE	"1"
2	10	0.05	50	10	3	-0.1	0.5	0.000622751490049572	0.000565985765196319	0.000566584865187578	268	25825.2119551062	9.01910726179444	9.11530935859092	1	TRUE	"1"
2	10	0.05	50	1	4	-0.1	0.5	0.000647620224077038	0.000643121663462764	0.000637507897030811	277	8985.76651303117	1.56145942795995	0.694629421229886	1	TRUE	"1"
2	10	0.05	50	2	4	-0.1	0.5	0.000703687679164692	0.00064158087154544	0.000642403895379909	286	22505.0345602492	8.70894653968202	8.82590522161415	1	TRUE	"1"
2	10	0.05	50	3	4	-0.1	0.5	0.000656292676032302	0.000650934814514714	0.000648480937077245	295	2009.492620284	1.19028281745939	0.816382951274064	1	TRUE	"1"
2	10	0.05	50	4	4	-0.1	0.5	0.000685463780148696	0.000607847684522371	0.000608051342004787	304	11744.6308866535	11.2934396223118	11.3231505258364	1	TRUE	"1"
2	10	0.05	50	5	4	-0.1	0.5	0.000810924326222165	0.000831166517144355	0.00082750145505703	313	21238.5014818398	-2.04422635982475	-2.49618740832351	1	TRUE	"1"
2	10	0.05	50	6	4	-0.1	0.5	0.000664860380571773	0.000592396241702486	0.000593703481653262	322	14123.1389948182	10.7025325914768	10.8991513085753	1	TRUE	"1"
2	10	0.05	50	7	4	-0.1	0.5	0.00087854046388693	0.000823458517503868	0.000823139008153841	331	18767.3414245767	6.3060790038032	6.26971080414017	1	TRUE	"1"
2	10	0.05	50	8	4	-0.1	0.5	0.000718217468212982	0.000720105805263756	0.00071802221444196	340	22635.8076637825	0.0271858844518968	-0.262919955911478	1	TRUE	"1"
2	10	0.05	50	9	4	-0.1	0.5	0.000640218816614829	0.000578592987910022	0.000578519511562011	349	8985.02833362967	9.63722143923464	9.62574468377155	1	TRUE	"1"
2	10	0.05	50	10	4	-0.1	0.5	0.000668220238653145	0.000609108944454203	0.000609767966307888	358	17259.638328872	8.74745614755281	8.84607959766166	1	TRUE	"1"
2	10	0.05	50	1	5	-0.1	0.5	0.000622009633114411	0.000574442704096918	0.000574469465438992	367	24704.2981234839	7.64299540465059	7.64729780458941	1	TRUE	"1"
2	10	0.05	50	2	5	-0.1	0.5	0.000709922724814555	0.000791026900324209	0.000786300242916942	376	24507.4513840471	-10.758567859951	-11.4243667197496	1	TRUE	"1"
2	10	0.05	50	3	5	-0.1	0.5	0.000665259723421701	0.000725171680058225	0.000721664519541222	385	9992.14749278629	-8.47861280845441	-9.00579946857034	1	TRUE	"1"
2	10	0.05	50	4	5	-0.1	0.5	0.000672377039220893	0.000616135130865458	0.000617214265221904	394	23667.0672408755	8.20414303006368	8.36463845056405	1	TRUE	"1"
2	10	0.05	50	5	5	-0.1	0.5	0.000651050178941611	0.000553394189041954	0.000550820929650455	403	5516.60943087769	15.3950114035903	14.9997639288592	1	TRUE	"1"
2	10	0.05	50	6	5	-0.1	0.5	0.000633985380161828	0.000565582033196291	0.000568291352172139	412	1812.37072558518	10.3620730138793	10.7894202462645	1	TRUE	"1"
2	10	0.05	50	7	5	-0.1	0.5	0.000680153004515529	0.000612095816950226	0.000611256686841818	421	3744.25093106969	10.1295322105921	10.0061584839693	1	TRUE	"1"
2	10	0.05	50	8	5	-0.1	0.5	0.000672394068298861	0.000609674225255014	0.000610098237826724	430	7783.94007845405	9.26477989755962	9.3278400272814	1	TRUE	"1"
2	10	0.05	50	9	5	-0.1	0.5	0.000623478522744703	0.000607851867987186	0.0006070761191973	439	21624.1227723126	2.63078886425715	2.50636616779111	1	TRUE	"1"
2	10	0.05	50	10	5	-0.1	0.5	0.000696033509480356	0.00079361228919065	0.00078199470227896	448	6067.47716665282	-12.3501514837669	-14.0192646447646	1	TRUE	"1"
