"Mixnoise" "Scenario" "Replicate" "CARD_RMSE" "Ave_RMSE" "Median_RMSE" "Best_Median_RMSE" "Ave_Percent_CARD" "Median_Percent_CARD" "Best_Median_Percent_CARD" "Ave_Percent_Reduction" "Median_Percent_Reduction" "Best_Median_Percent_Reduction" "alpha0" "alpha1" "WAIC"
0 1 1 0.00192268948038911 0.00189934185032358 0.00189893823368742 0.00189893823368742 98.7856785870173 98.7646862926153 98.7646862926153 1.21432141298267 1.23531370738468 1.23531370738468 -0.1 0.5 4027519.99623832
0 1 2 0.0016157977590021 0.00159051855948988 0.0015909213810626 0.0015909213810626 98.4354973033363 98.4604275008487 98.4604275008487 1.56450269666374 1.53957249915134 1.53957249915134 -0.1 0.5 16370513.2557721
0 1 3 0.00194366031246803 0.00189082590653787 0.00189348462273216 0.00188392102815488 97.2817057800048 97.4184949183761 96.9264544874462 2.71829421999524 2.58150508162394 3.07354551255379 -0.1 0.5 3789064.25832495
0 1 4 0.00150978979817192 0.00148628577329051 0.00148443152356082 0.00148443152356082 98.4432253476697 98.3204102556658 98.3204102556658 1.55677465233035 1.67958974433423 1.67958974433423 -0.1 0.5 947272.529892355
0 1 5 0.00181110668777267 0.001799763117147 0.00179932428502961 0.00179932428502961 99.3736663498482 99.3494362964586 99.3494362964586 0.6263336501518 0.650563703541407 0.650563703541407 -0.1 0.5 3777726.42394064
0 1 6 0.00166436521990345 0.0016978321204246 0.00168930893488561 0.00165653706066244 102.010790667873 101.498692395387 99.5296609693956 -2.01079066787346 -1.49869239538705 0.470339030604361 -0.1 0.5 8606938.575015
0 1 7 0.00200434265819916 0.00197094972823075 0.00197179075465581 0.00196280087149117 98.3339709988305 98.3759312106545 97.9274109375433 1.66602900116952 1.62406878934549 2.07258906245673 -0.1 0.5 6003638.88008354
0 1 8 0.00208612463791734 0.00203126525191589 0.00203290369491105 0.00199886906651237 97.3702728492667 97.4488128830393 95.8173366145524 2.62972715073334 2.55118711696068 4.18266338544759 -0.1 0.5 1550219.16074931
0 1 9 0.00195109843297742 0.00190179619882881 0.00190306710346442 0.00187374206371231 97.4731036981372 97.538241602721 96.0352400495211 2.52689630186282 2.46175839727897 3.96475995047889 -0.1 0.5 1429110.43801333
0 1 10 0.0013351865786504 0.00132623008801817 0.0013211835344559 0.00132116792593802 99.3291955764502 98.9512294073047 98.950060393316 0.670804423549787 1.04877059269531 1.04993960668404 -0.1 0.5 2353110.22292887
0 1 11 0.00187299341606048 0.00184050466782332 0.00183842553961779 0.00183842553961779 98.2654104409243 98.1544048074981 98.1544048074981 1.73458955907567 1.84559519250194 1.84559519250194 -0.1 0.5 2855162.47150103
0 1 12 0.00186397054296013 0.00183463668349088 0.00183401362978245 0.00183401362978245 98.4262702229905 98.3928440666178 98.3928440666178 1.57372977700954 1.60715593338219 1.60715593338219 -0.1 0.5 8262480.52214807
0 1 13 0.00183602805609105 0.00182963064693071 0.00182830391718237 0.00182830391718237 99.6515625597814 99.5793016951427 99.5793016951427 0.348437440218652 0.420698304857325 0.420698304857325 -0.1 0.5 13613700.3982375
0 1 14 0.00205988191496377 0.00198920913290377 0.00199134033517345 0.00197577858473805 96.5690857545471 96.6725481061605 95.9170800221721 3.4309142454529 3.32745189383953 4.08291997782792 -0.1 0.5 2925216.63803598
0 1 15 0.00207114719145314 0.00200697423577881 0.00200897796884622 0.00198177715517476 96.9015743574794 96.9983194403822 95.6849983117 3.09842564252063 3.00168055961784 4.31500168829996 -0.1 0.5 1967930.62054764
0 1 16 0.00190790593012314 0.00185989601412152 0.00186254504526491 0.0018579004726495 97.4836329588576 97.622477914553 97.3790396746441 2.51636704114241 2.37752208544697 2.6209603253559 -0.1 0.5 1286150.24398206
0 1 17 0.00188759503685333 0.00184687772368815 0.00184745842865047 0.001829485330776 97.8428999668776 97.8736642436945 96.9214950800994 2.15710003312241 2.12633575630549 3.07850491990064 -0.1 0.5 2175281.50680371
0 1 18 0.00194471960330814 0.00189115474355736 0.00189223699308516 0.00187535835476164 97.2456255565244 97.3012762285266 96.4333547916877 2.75437444347563 2.6987237714734 3.56664520831231 -0.1 0.5 2105787.33558915
0 1 19 0.00201352346543948 0.00196210088405278 0.00196378243045507 0.00192774118885583 97.4461394530867 97.5296520831182 95.7396932265238 2.5538605469133 2.47034791688179 4.26030677347616 -0.1 0.5 1587042.59533751
0 1 20 0.00117431517376279 0.00119687449278596 0.0011875928100568 0.00115098696604736 101.921061698529 101.13067058918 98.0134628048209 -1.9210616985289 -1.13067058917966 1.98653719517911 -0.1 0.5 1565711.19412706
0 1 21 0.00194710397911344 0.00191434132999556 0.00191731636989653 0.00190818867550842 98.3173652013799 98.4701582690785 98.0013751693559 1.68263479862013 1.52984173092148 1.99862483064408 -0.1 0.5 1616922.93300277
0 1 22 0.00187510582132234 0.00184602473747194 0.00184377858091303 0.00184377858091303 98.4490963912697 98.3293081354087 98.3293081354087 1.55090360873029 1.67069186459129 1.67069186459129 -0.1 0.5 11735619.0904762
0 1 23 0.00156962074292481 0.00154114903945151 0.00153996045782188 0.00153996045782188 98.1860775221251 98.1103533935426 98.1103533935426 1.81392247787489 1.88964660645741 1.88964660645741 -0.1 0.5 1089325.25823512
0 1 24 0.00147359458506468 0.00148108235847138 0.00147553453236165 0.00145562432650711 100.508129812812 100.131647287295 98.7805154321478 -0.508129812812208 -0.131647287295422 1.21948456785225 -0.1 0.5 7655555.48648953
