"Method"	"SC_rep"	"ST_rep"	"RMSE"	"CARD_RMSE"	"PercentDiff"
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	5	1	0.00103126441235527	0.000780854808636446	-32.0686510410421
"SPOTlight"	5	1	0.00101644970037029	0.000780854808636446	-30.1714081962626
"STdeconvolve"	5	1	0.00121026535584387	0.000780854808636446	-54.9923676537609
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	6	1	0.000876021238884197	0.000626846729678836	-39.7504680822097
"SPOTlight"	6	1	0.000720665873647161	0.000626846729678836	-14.9668395041947
"STdeconvolve"	6	1	0.00100738351997923	0.000626846729678836	-60.7065128177928
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	7	1	0.000797890920050376	0.000608246329281363	-31.1789124963691
"SPOTlight"	7	1	0.000622065809182527	0.000608246329281363	-2.27202027137461
"STdeconvolve"	7	1	0.0010061852183425	0.000608246329281363	-65.4239688600003
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
